date,revenue,expenses,profit,cash_flow,assets,liabilities
2024-01-31,87352.99431601563,77435.0997540806,53324.56493643051,73004.17333981376,1295694.500061223,368844.71141348046
2024-02-29,190879.6149238643,147979.474789369,13877.351101465743,-48578.73031074552,624790.5152772609,545986.7006981279
2024-03-31,171386.8755130224,59377.40775409627,53144.94265193174,-49452.99458229856,927895.4929122992,534884.1485375321
2024-04-30,173093.83896007919,75164.47527579212,57952.09644884319,63956.749050845116,1280558.3246614519,235436.34479759392
2024-05-31,79279.07214138882,66130.46165582564,23843.73393322629,64217.13731906818,1778525.175025751,671248.122820233
2024-06-30,71494.39871464016,43154.99835960027,67354.23041052397,68346.57817784406,1561307.7344220106,639747.404682589
2024-07-31,53904.43247257023,88787.29705569899,73775.9592101834,89504.02568322435,1432824.7421823996,262483.44321673026
2024-08-31,85556.226337802,75442.87959996027,66916.08748796738,-32314.053226957367,1244049.3349121222,954530.4419683515
2024-09-30,166128.57375714873,113386.4502968736,31357.64331484575,-15202.252252446746,948025.9757212015,279506.22316068807
2024-10-31,86005.76281462246,128111.34563418555,51065.01087119441,85558.73805607113,678867.3669788918,883867.3209898688
2024-11-30,159365.49253923143,95309.96573947663,74037.06044338594,-23414.570334146985,1113614.0518491433,200247.78553200475
2024-12-31,87786.23980511322,33863.570650480426,32446.530835599493,52334.39013648759,542777.7408669388,905824.8760363065
